title_english,title_alutiiq,credit,audio,video,script,script_english_words,script_alutiiq_words,traditional,notes
Ugai,Ugai,Sperry Ash,https://s3-us-west-2.amazonaws.com/alutiiq-language-resources/songs/Ugai.mp3,,Ugai,"We are getting up. We are getting up.

Here are many people. Here are many people.

We have to get together as one,

That way we will be strong.

If we stay together as one, helping each other,

that way we will be strong people.

We won't have a hard time.

If we do this we can be happy/proud ourselves.

(chanting, and then stomp 3x)","Ugai. Ugai.

Gua sugpakat. Gua sugpakat.

Katurt'kaukut allringurmen,

tawaten tuknigciqukut.

Ellkumta allringu'uluta, ikayulluta,

Tuknignayartukut sugni.

Kayagyugninaitukut.

Tawatarluta taumi silugnayartukut guangkumt'nek.

m'mm, m'mm

m'mm, m'mm (stomp 3x)",FALSE,"Written and shared by Sperry Ash of Nanwalek. We adapted the song to the Koniag Dialect with Sperry's permission. Ugai is a song about the strength of our people. It says that when we are together, helping each other, we will be stronger and will not have a hard time. Kodiak Alutiiq language adjustments by Alisha Drabek, Susan Malutin, Florence Pestrikoff, Sophie Shepherd, Kathryn Chichenoff, and Nick Alokli."
Kayaking,Qayaq,Nina Olsen,,,Qayaq,"You all come in your kayaks.

Paddle and paddle (row).

Arrow, arrow.

Arrow, arrow.

Arrow, arrow.

We got it!","Tailuci qayakun.

Anguarluci.

Ruuwaq, ruuwaq.

Ruuwaq, ruuwaq.

Ruuwaq, ruuwaq.

Pitakarpet! ",FALSE,"Come by kayak, paddle and paddle, we will pick up our arrows and go hunting and if we are lucky we will be successful hunters. This song was given by the late elder Nina Olsen. "
Sledding,Lluwarlita,Stella Krumrey,https://s3-us-west-2.amazonaws.com/alutiiq-language-resources/songs/14+Sledding.mp3,,Lluwarlita,"Come my friends, 

let's all go sledding, let's all go sledding. 

Come my friends, 

let's all go sledding, let's all go sledding.

Beautifully, the snow is falling. 

Beautifully, the snow is falling. 

Enough, let's go, enough!","Tailuci angayumang, 

lluuwarlita, lluuwarlita. 

Tailuci angayumang, 

lluuwarlita, lluuwarlita. 

Cucunarluni, aniuq katagtuq. 

Cucunarluni, aniuq katagtuq. 

Awa'i, aglita, awa'i! ",FALSE,
Spear,Kaputiin,Stephen Blanchett,https://s3-us-west-2.amazonaws.com/alutiiq-language-resources/songs/15+Kaputiin.mp3,,,"Once upon a time a warrior 

his spear would help us. (2x) 

(Chanting) 

When we were doing our daily activity the spear was stolen. 

Although those of us have we will never forget it the spear is our identity. 

We will grab the spear 

and never let it go 

because we are Sugpiaq! ","Aka tamani anguyaghten 

kapu'uu'tiin Ikallyullruakut. 

Aya'aa ha'aya 

Yung'ii nanempteni Kapuun teglegaat. 

Taugwaam guangkuta Nalluygucunaku. 

Kapuun paitaqerput 

guankut tumakiiluat 

pegcunaku Sugpiaruluten!",FALSE,"Song written by Stephen Blanchett and the Alaska Native Heritage Center Dancers of the time. The song retells a story that Lucille Davis would tell about a spear that fought in a battle against the Russians, that hung above the doorway. While they were out gathering, the spear was taken. The spear was remade by Michael Livingston of the Aleutians, and gifted to Lucille and her family, along with this song. "
Snowman Song,Qaninguq,Stella Krumrey,https://s3-us-west-2.amazonaws.com/alutiiq-language-resources/songs/13+SnowmanSong.mp3,,Qaninguq,"It's snowing. It's snowing. It's snowing. 

It's snowing. It's snowing. It's snowing. 

Three of them big 

from snow, let's make a ball. 

And then into one, 

put them, make a man. ","Qaninguq. Qaninguq. Qaninguq. 

Qaninguq. Qaninguq. Qaninguq.  

Pingayunek angluki, 

aniumek mayaciilita. (2x) 

Taumi allrilugmen, 

lliiluki, suarliluta. (2x) ",FALSE," This is our snowman song. It is snowing, we will make three large snowballs, stack them to make our snowmen, then put on the eyes, mouth, nose and buttons then kick them down. This song was written by Stella Krumrey. Generations CD Track 2."
Thank You For Coming,Quayanaa Tailuci,Irene Coyle,,,QuayanaaTailuci,"Thank you for coming. 

Thank you for coming. 

Alaskans, and strangers. 

On the other side of the Alaskan mountain. 

Thank you very much, for all coming. 

Ah ah, oh oh, We'll see you all. 

Ah ah, oh oh, We'll see you all. 

Ah ah, oh oh, We'll see you all. 

Forgive yourself. ","Quyanaa Tailuci. 

Quyanaa Tailuci. 

Alas'kaarmiut allanertat, cali. 

Alas'kaam ingrim akiani. 

Quyanaarpak, quyanaarpak tailuci. 

Ah ah, oh oh.  Tang'rciqamci. 

Ah ah, oh oh.  Tang'rciqamci. 

Ah ah, oh oh.  Tang'rciqamci. 

PRastiirluten.",FALSE," Original 'Thank you for coming' song by Irene Coyle, featured on the Generations CD "
Hope You Enjoyed,Pingar'ci,Samantha Heglin,,,,"Thank you all for inviting us. 

We hope you enjoyed our performance. 

Our journey with you is coming to an end. 

The Kodiak Alutiiq Dancers 

are thankful to you all 

for coming. ","Quyana nugkikut. 

Pingar'ci. 

Ellpeci-llu caqaiput taqutut. 

Sun'aq Alutiit Agngaursqat 

quyawiklluci 

tailuten. ",FALSE,
Puffin Song,Ugtua,Sperry Ash,,,Ugtua,"I'm climbing on top of it. I'm hunting for puffins. 

Heading up there, I am climbing. 

I arrive at their dens. 

I'm climbing on top of it. I'm climbing on top of it. 

I'm hunting for puffins. ","Ugtua. Ugtua. Tunngargsurtua. 

Paagut Mayurtua. 

Tekigatanka legtiat. 

Ugtua. Ugtua. 

Tunngargsurtua.",FALSE," Written and shared by Sperry Ash of Nanwalek. Kodiak Alutiiq language adjustments by Alisha Drabek, Susan Malutin, Florence Pestrikoff, Sophie Shephard, Kathryn Chichenoff, and Nick Alokli "
I Suddenly Remember,Umiaqartaqa,April Laktonen Counceller,,,Umiaqartaqa,"Ay-ya, ay-ya, I just remember it. 



Long ago If 

I was (lived) here, I was (lived) here. 

On the ocean 

fishing. 



These days (now) I 

I am (always) here, I am (always) here 

In my mind 

Fishing. 



Later, my family 

Will be here, will be here  

On the ocean 

They will have fun 



Ya-ha, Ya-ha, Ya-ha-hey! (Chanting)","Ay-ya, ay-ya, umiaqartaqa. X2 



Qangiq Gui

Etaallianga, etaallianga 

Imarmi 

Iqallugsurlua. 



(Chorus) 

Nutaan Gui

Etartuanga, etaartuanga 

Umiamni  

Iqallugsurlua. 



(Chorus) 

Ilanka Atakuu, 

Etarrciqut, etaarciqut 

Imarmi 

Nunaniqsaagciqut 



(Chorus) 

Ya-ga, Ya-ga, Ya-ga-gai 

",FALSE,"Written by April Laktonen Counceller with help from Nick Alokli, Theresa John, Agatha John Shields, Desiree Cronin-Tallman in 2010. Choreographed by Brandi, Baskofsky, Allison Anderson, and April Laktonen Counceller. Song shares the story of a person who used to go fishing all the time and they now fish in their mind, but someday her family will have fun on the water someday. 

"
Tidal Wave,Qangyusinaq,"Florence Pestrikoff, Kari Sherod, Lena Amason, and Agatha John-Sheilds",,,Qangyusinaq,"I was sitting, I hear something 
the land here is moving. 
It is getting stronger. 

(Chorus)
I was sitting, I hear something 
the land here is moving. 
It is getting stronger. 

I look for my children. 
We climb the mountain. 
The great wave pulls away our houses. 
The land here is moving. 
It is getting stronger. 

My children are all together (as one) 
Being thankful to God. 
The land here is moving. 
It is getting stronger.

I was sitting, I hear something 
the land here is moving. 
It is getting stronger. ","Aqum'allianga caqiq niitaqa. 
Aqum'allianga caqiq niitaqa. 
Man'a nuna arulaluni/ aulaluni 
Tuknitmen agluni. Yi-ii-ii-ii-rii. 

(Chorus) 
Aqum'allianga caqiq niitaqa. 
Man'a nuna arulaluni/ aulaluni. 
Tuknitmen agluni. Yi-ii-ii-ii-rii. 

Uswillranka iwa'iluki. 
Mayurluta ingrimen. 
Qangyusinaq unglupet* cayugluki. 
Man'a nuna arulaluni/ aulaluni. 
Tuknitmen agluni. Yi-ii-ii-ii-rii. 

Uswillranka allrilurmi. 
Quyawakilluku Agayun. 
Man'a nuna arulaluni/ aulaluni. 
Tuknitmen agluni. Yi-ii-ii-ii-rii. 

Aqum'allianga caqiq niitaqa. 
Aqum'allianga caqiq niitaqa. 
Man'a nuna arulaluni/ aulaluni 
Tuknitmen agluni. Yi-ii-ii-ii-rii. 
",FALSE,"By Florence Pestrikoff, Kari Sherod, Lena Amason, and Agatha John-Shields with help from Nick Alokli and Dennis Knagin. Inspired by Florence's experience of the 1964 Earthquake and Tidal Wave in Old Harbor. Englupet is the northern word for house, but this song was written from Florence's experience and 'ungluq' is the way she says house. 

"
You Are My Sunshine,Ellpet Macaqa,,,,EllpetMacaqa,"You are my sun(shine), 

My only sun(shine), 

You make me happy when it's overcast. 

You will never know, 

How I love you, 

Don't take my sun(shine) away. 



The day before yesterday, 

when I was sleeping, 

in my dream I was holding you. 

Then I woke up, 

I made a mistake 

I felt sad, then I cried. ","Ellpet macaqa 

Kisiin macaqa, 

Atgurt'starp'nga talumakan, 

Nalluciqan, 

Cestun qunukamken, 

Macaqa tun'illkiu gwamnek. 



Akgua'am yatiini 

qawarngama, 

qawangumni tuumiaq'gkemken. 

Taumi esgarngama, 

Alart'llrumaunga,

Imasuugllianga, qiawagcaa. 

",FALSE,"Translation of You Are My Sunshine. Students at Dig Afognak Language and Music Camp 2014 developed the dance movements to the song. 
Sung to the tune of 'You are My Sunshine'. Transcription by April Laktonen Counceller, Shauna Hegna, Florence Pestrikoff & Nick Alokli, courtesy of the Alutiiq Museum. Generations CD Track 5.

"
Four Boats,Staaman Palayat,,,,StaamanPalayat,"Four boats are swaying.

Sugar, coffee, 

put them in the cupboard. 

They might fall out. 

Sing. 



Four boats are swaying. 

We take off our boots and sit down. 

Sugar, coffee, 

Put them in the cupboard. 

They might fall out. 

Sing.","Staaman palayat arulatai.   X2 

SaagaRaq, kuugiaq, 

Skaapamen lliiluki. 

Katagsuartut. 

Aturluki. 



Staaman palayat arulatai.   X2 

ARapaci yuuluki aqumluci. 

Kuugiaq, saagaRaq, 

skaapamen lliiluki. 

Katagsuartut. 

Aturluki. ",FALSE,"Verse two as sung by Larry Matfay, recording courtesy of the Alutiiq Museum. Transcribed by April Laktonen Counceller with edits by Alisha Drabek and Peter Squartsoff. 

"
Summer,Kiak,,,,Kiak,"The sun is getting hot. 

It is summer. 



Summer birds are singing (humming) 

Yellow crown sparrow we hear it (humming) 

The sun is getting hot 

It is summer 



Summer sea birds we see them (humming) 

The bumble bees are coming (humming) 

The sun is getting hot 

It is summer 



Dragon flies are flying (humming) 

Mosquitoes are buzzing (humming) 

The sun is getting hot 

It is summer","Macaq uqnaiyuq X2 

Kiagtuq 



Saqullkanat aturtut hm, hm, hm 

Ikuwitiit niitarpet hm, hm, hm 

Macaq uqnaiyuq X2 

Kiagtuq 



Cuwat tangrapet hm hm hm 

Uuqutiit taiyut hm hm hm 

Macaq uqnaiyuq X2 

Kiagtuq 



Cilrayut tengaurtut hm hm hm 

Mengquilut em'irtut hm hm hm 

Macaq uqnaiyuq X2  

Kiagtuq",FALSE,
Thank You ,Quyanaa,June Pardue,,,Quyanaa,"Thank you all for coming, Alutiiq people. 

Thank you all for coming, visitors. 

Thank you all for coming, Alutiiq people.

Thank you. Thank you. Thank you. 

for coming, for coming, Father. 

for coming, for coming, Son of Man. 

for coming, for coming, Spirit of God. 

Thank you. Thank you. Thank you.","Quyanaa tailuci, Sugpiat. 

Quyanaa tailuci, allanertat. 

Quyanaa tailuci, Sugpiat. 

Quyanaa. Quyanaa. Quyanaa. (2x) 

Tailuten, Tailuten, Taata. 

Tailuten, Tailuten, Awaqutan. (2x) 

Tailuten, Tailuten, Anerneran. 

Quyanaa. Quyanaa. Quyanaa. (2x) ",FALSE,"Original song by June Pardue, with Alutiiq editorial assistance from Florence Pestrikoff. Performed as a welcome dance, welcoming all of the audience members to the performance, inviting everyone to come and watch."
Hunter,Pisurtuq,Irene Coyle and Alisha Drabek ,,,Pisurtuq,"The old man is hunting. 
He sees a bear!
And now he stands up...
He pulls back his arrow.
Here's a bear,
there's a bear,
here, there
Bears all around.
The old man is hunting.
He got it!","Angutaq pisurtuq. 
Taquka'aq tangraa!
Nutaan-llu nangartuq...
Ruuwaq cayugaa.
Gwaa'i taquka'aq,
tawa'i taquka'aq.
Gwani, tawani.
Taqukaraat tamiini.
Angutaq pisurtuq.
Pitaqaa!",FALSE,"Original  He is hunting' song, sung to the tune of  Old McDonald Had a Farm,' by Irene Coyle and Alisha Drabek. Replace an animal name to sing a new verse. Recording courtesy of the Alutiiq Museum. Generations CD Track 11. "
I'm a Little Teapot,Gui Caininguangcuk ,Alisha Drabek ,,,GuiCaininguangcuk ,"I'm a little teapot, 
Short and stout. 
Here is my handle. 
Here is my spout. 

When I start to boil [get all steamed up], 
Hear me [shout],
[Just]  Tip me over,
And then pour me out.'","Gui caininguangcuk, 
Nanitua lurtulua. 
Gwaa'i aigaqa. 
Gwaa'i kugwika. 

Gui qallakuma,
Niicikarp'nga. 
 Kitngullua, 
Taumi kuglua.'",FALSE,"Sung to the tune of  I'm a little teapot,' transcribed by Alisha Drabek with translations by Qik'tarmiut Alutiit Language Club Elders "
Itsy Bitsy Spider,Miktengcusqaq MiskiiRaq,"April Laktonen Counceller, Florence Pestrikoff & Nick Alokli ",,,MiktengcusqaqMiskiiRaq,"The itsy bitsy spider 
climbed up the water's pipe. 
And then it started to rain, 
the spider slid away.
And then the sun came out, 
it dried up the rain. 
And then the itsy bitsy spider
climbed up the pipe again.","Miktengcusqaq miskiiRaq* 
mayukii taangam paipaa. 
Taumi qitenguartaa, 
miskiiRaq llurluni. 
Taumi macaq suarluni,
qiteq kinert'sluku.
Taumi miktengcuusqaq miskiiRaq*
paipaq mayungqiskii.",FALSE,"Sung to the tune of  'Itsy Bitsy Spider' by April Laktonen Counceller, Florence Pestrikoff & Nick Alokli, courtesy of the Alutiiq Museum. 
* Alternative Northern Alutiiq pronunciation of  miskiiRaq' or  spider' is  miskiiRiaq'. "
Rain Rain Go Away,"Qiteq, Qiteq, Awasaa ",Qik'rtarmiut Alutiit Program Masters and Apprentices ,,,QiteqQiteqAwasaa ,"Rain, rain, go away. 
Come again another day. 
We want to play today. 
Come again in the fall. 

Rain, rain, go away.
Come again another day.
The fish in the river
They are coming, they are laying their eggs.","Qiteq, qiteq, awasaa. 
Taisumuten atakuu. 
Wamyugtukut ernerpak. 
Taisumuten uksuarku. 

Qiteq, qiteq, awasaa. 
Taisumuten atakuu.
Iqalluk kuigmen
Tairyugtut, siisuten angcugrait.",FALSE,"Sung to the tune of  Rain Rain Go Away,' translated by Qik'rtarmiut Alutiit ..."
Ten Little Indians,Qulen Alutiingcut ,"April Laktonen Counceller, Florence Pestrikoff, Nick Alokli ",,,QulenAlutiingcut ,"One, Two, Three Alutiit. 
Four, Five, Six Alutiit. 
Seven, Eight, Nine Alutiit. 
Ten little Alutiit. 

Ten, Nine, Eight Alutiit. 
Seven, Six, Five Alutiit. 
Four, Three, Two Alutiik.
 One little Alutiiq.","Allringuq, Mal'uk, Pingayun Alutiit. 
Staaman, Talliman, Arwilgen Alutiit. 
Mallruungin, Inglulgen, Qulnguyan Alutiit. 
Qulen Alutiingcut. 

Qulen, Qulnguyan, Inglulgen Alutiit. 
Mallruungin, Arwilgen, Talliman Alutiit. 
Staaman, Pingayun, Mal'uk Alutiik. 
Allringuq Alutiingcuk.",FALSE,"Sung to the tune of  Ten Little Indians'
Courtesy of the Alutiiq Museum, April Laktonen Counceller, Florence Pestrikoff and Nick Alokli originally developed in the village of Old Harbor. 
Alternative pronunciation for  One' - Allriluq "
